file_name,label
neu-m1-b1.wav,2
neu-m1-b2.wav,2
neu-m1-b3.wav,2
neu-m1-l1.wav,2
neu-m1-l2.wav,2
neu-m1-l3.wav,2
neu-m1-l4.wav,2
neu-m1-n1.wav,2
neu-m1-n2.wav,2
neu-m1-n3.wav,2
neu-m1-n4.wav,2
neu-m1-n5.wav,2
neu-m1-d1.wav,2
neu-m1-d2.wav,2
rab-m1-b1.wav,4
rab-m1-b3.wav,4
rab-m1-l4.wav,4
rab-m1-n2.wav,4
rab-m1-n3.wav,4
rab-m1-n4.wav,4
rab-m1-n5.wav,4
dis-m1-b1.wav,0
dis-m1-b2.wav,0
dis-m1-b3.wav,0
dis-m1-l1.wav,0
dis-m1-l3.wav,0
dis-m1-l4.wav,0
dis-m1-n1.wav,0
dis-m1-n2.wav,0
dis-m1-n3.wav,0
dis-m1-n4.wav,0
dis-m1-n5.wav,0
dis-m1-d1.wav,0
dis-m1-d2.wav,0
pau-m1-b1.wav,3
pau-m1-b2.wav,3
pau-m1-b3.wav,3
pau-m1-l1.wav,3
pau-m1-l2.wav,3
pau-m1-l3.wav,3
pau-m1-l4.wav,3
pau-m1-n1.wav,3
pau-m1-n2.wav,3
pau-m1-n3.wav,3
pau-m1-n4.wav,3
pau-m1-n5.wav,3
pau-m1-d1.wav,3
pau-m1-d2.wav,3
gio-m1-b1.wav,1
gio-m1-b2.wav,1
gio-m1-b3.wav,1
gio-m1-l1.wav,1
gio-m1-l2.wav,1
gio-m1-l3.wav,1
gio-m1-l4.wav,1
gio-m1-n1.wav,1
gio-m1-n3.wav,1
gio-m1-n4.wav,1
gio-m1-n5.wav,1
gio-m1-d1.wav,1
gio-m1-d2.wav,1
tri-m1-b1.wav,6
tri-m1-b2.wav,6
tri-m1-b3.wav,6
tri-m1-l1.wav,6
tri-m1-l2.wav,6
tri-m1-l3.wav,6
tri-m1-l4.wav,6
tri-m1-n1.wav,6
tri-m1-n2.wav,6
tri-m1-n3.wav,6
tri-m1-n4.wav,6
tri-m1-n5.wav,6
tri-m1-d1.wav,6
tri-m1-d2.wav,6
sor-m1-b1.wav,5
sor-m1-b2.wav,5
sor-m1-b3.wav,5
sor-m1-l2.wav,5
sor-m1-l3.wav,5
sor-m1-l4.wav,5
sor-m1-n3.wav,5
sor-m1-n4.wav,5
sor-m1-n5.wav,5
sor-m1-d2.wav,5
gio-m1-n2.wav,1
rab-m1-d2.wav,4
rab-m1-l1.wav,4
rab-m1-d1.wav,4
rab-m1-n1.wav,4
rab-m1-b2.wav,4
sor-m1-d1.wav,5
rab-m1-l2.wav,4
sor-m1-n1.wav,5
sor-m1-n2.wav,5
sor-m1-l1.wav,5
rab-m1-l3.wav,4
dis-m1-l2.wav,0
